Generation;MeanFitness;MaxFitness
0;95;867
1;185;867
2;408;867
3;739;879
4;801;921
5;883;1000
6;920;1000
7;940;1000
8;975;1000
9;996;1000
10;1000;1000
11;1000;1000
12;937;1000
13;1000;1000
14;936;1000
15;993;1000
16;995;1000
17;937;1000
18;1000;1000
19;1000;1000
20;1000;1000
21;994;1000
22;995;1000
23;992;1000
24;875;1000
25;997;1000
26;1000;1000
27;873;1000
28;1000;1000
29;996;1000
30;1000;1000
31;929;1000
32;1000;1000
33;868;1000
34;1000;1000
35;997;1000
36;937;1000
37;935;1000
38;937;1000
39;1000;1000
40;937;1000
41;1000;1000
42;995;1000
43;937;1000
44;875;1000
45;812;1000
46;1000;1000
47;1000;1000
48;1000;1000
49;1000;1000
50;1000;1000
51;935;1000
52;937;1000
53;937;1000
54;875;1000
55;1000;1000
56;1000;1000
57;1000;1000
58;812;1000
59;937;1000
60;996;1000
61;1000;1000
62;875;1000
63;937;1000
64;994;1000
65;996;1000
66;875;1000
67;931;1000
68;1000;1000
69;1000;1000
70;875;1000
71;1000;1000
72;998;1000
73;1000;1000
74;990;1000
75;1000;1000
76;934;1000
77;937;1000
78;1000;1000
79;937;1000
80;1000;1000
81;996;1000
82;934;1000
83;875;1000
84;937;1000
85;937;1000
86;933;1000
87;1000;1000
88;1000;1000
89;932;1000
90;875;1000
91;993;1000
92;997;1000
93;937;1000
94;933;1000
95;1000;1000
96;1000;1000
97;995;1000
98;1000;1000
99;932;1000
100;1000;1000
101;937;1000
102;937;1000
103;875;1000
104;875;1000
105;937;1000
106;937;1000
107;931;1000
108;937;1000
109;998;1000
110;997;1000
111;865;1000
112;998;1000
113;999;1000
114;996;1000
115;995;1000
116;932;1000
117;998;1000
118;872;1000
119;937;1000
120;934;1000
121;872;1000
122;1000;1000
123;936;1000
124;937;1000
125;998;1000
126;994;1000
127;932;1000
128;995;1000
129;750;1000
130;1000;1000
131;936;1000
132;994;1000
133;995;1000
134;937;1000
135;875;1000
136;1000;1000
137;1000;1000
138;933;1000
139;937;1000
140;937;1000
141;937;1000
142;875;1000
143;932;1000
144;937;1000
145;1000;1000
146;812;1000
147;875;1000
148;1000;1000
149;1000;1000
150;875;1000
151;996;1000
152;996;1000
153;1000;1000
154;937;1000
155;996;1000
156;870;1000
157;996;1000
158;932;1000
159;937;1000
160;933;1000
161;937;1000
162;932;1000
163;927;1000
164;996;1000
165;870;1000
166;1000;1000
167;937;1000
168;998;1000
169;994;1000
170;1000;1000
171;1000;1000
172;931;1000
173;930;1000
174;1000;1000
175;995;1000
176;875;1000
177;1000;1000
178;997;1000
179;996;1000
180;932;1000
181;995;1000
182;875;1000
183;995;1000
184;996;1000
185;1000;1000
186;995;1000
187;1000;1000
188;997;1000
189;996;1000
190;1000;1000
191;1000;1000
192;1000;1000
193;1000;1000
194;812;1000
195;998;1000
196;1000;1000
197;869;1000
198;934;1000
199;1000;1000
200;937;1000
201;933;1000
202;1000;1000
203;997;1000
204;1000;1000
205;812;1000
206;995;1000
207;1000;1000
208;931;1000
209;875;1000
210;993;1000
211;931;1000
212;935;1000
213;1000;1000
214;993;1000
215;998;1000
216;937;1000
217;990;1000
218;1000;1000
219;993;1000
220;937;1000
221;937;1000
222;937;1000
223;997;1000
224;989;1000
225;1000;1000
226;807;1000
227;934;1000
228;875;1000
229;929;1000
230;1000;1000
231;937;1000
232;928;1000
233;996;1000
234;875;1000
235;933;1000
236;1000;1000
237;930;1000
238;865;1000
239;996;1000
240;1000;1000
241;994;1000
242;870;1000
243;1000;1000
244;1000;1000
245;1000;1000
246;996;1000
247;1000;1000
248;930;1000
249;1000;1000
250;932;1000
251;933;1000
252;875;1000
253;994;1000
254;1000;1000
255;937;1000
256;935;1000
257;996;1000
258;875;1000
259;875;1000
260;1000;1000
261;937;1000
262;933;1000
263;937;1000
264;996;1000
265;875;1000
266;871;1000
267;993;1000
268;990;1000
269;933;1000
270;1000;1000
271;1000;1000
272;992;1000
273;937;1000
274;995;1000
275;996;1000
276;871;1000
277;931;1000
278;1000;1000
279;996;1000
280;1000;1000
281;1000;1000
282;875;1000
283;937;1000
284;1000;1000
285;1000;1000
286;812;1000
287;996;1000
288;997;1000
289;937;1000
290;812;1000
291;937;1000
292;875;1000
293;937;1000
294;992;1000
295;1000;1000
296;1000;1000
297;934;1000
298;1000;1000
299;875;1000
300;930;1000
301;932;1000
302;937;1000
303;1000;1000
304;1000;1000
305;937;1000
306;1000;1000
307;997;1000
308;934;1000
309;931;1000
310;1000;1000
311;1000;1000
312;875;1000
313;996;1000
314;996;1000
315;1000;1000
316;1000;1000
317;937;1000
318;875;1000
319;996;1000
320;996;1000
321;937;1000
322;998;1000
323;994;1000
324;931;1000
325;1000;1000
326;873;1000
